"query","type"
"er","suffix"
"ly","suffix"
"able","suffix"
"ible","suffix"
"hood","suffix"
"ful","suffix"
"less","suffix"
"ish","suffix"
"ness","suffix"
"ic","suffix"
"ist","suffix"
"ian","suffix"
"or","suffix"
"eer","suffix"
"logy","suffix"
"ology","suffix"
"ship","suffix"
"ous","suffix"
"ive","suffix"
"age","suffix"
"ant","suffix"
"ent","suffix"
"ment","suffix"
"ary","suffix"
"ize","suffix"
"ise","suffix"
"ure","suffix"
"ion","suffix"
"ation","suffix"
"ance","suffix"
"ence","suffix"
"ity","suffix"
"al","suffix"
"cial","suffix"
"tial","suffix"
"ate","suffix"
"tude","suffix"
"ism","suffix"
"de","prefix"
"dis","prefix"
"trans","prefix"
"dia","prefix"
"ex","prefix"
"mono","prefix"
"uni","prefix"
"bi","prefix"
"di","prefix"
"tri","prefix"
"multi","prefix"
"poly","prefix"
"pre","prefix"
"post","prefix"
"mal","prefix"
"mis","prefix"
"bene","prefix"
"pro","prefix"
"sub","prefix"
"re","prefix"
"inter","prefix"
"intra","prefix"
"co","prefix"
"com","prefix"
"con","prefix"
"col","prefix"
"be","prefix"
"non","prefix"
"un","prefix"
"in","prefix"
"im","prefix"
"il","prefix"
"ir","prefix"
"a","prefix"
"an","prefix"
"anti","prefix"
"contra","prefix"
"counter","prefix"
"en","prefix"
"em","prefix"
"astro?","greek"
"bio?","greek"
"geo?","greek"
"therm","greek"
"auto?","greek"
"homo?","greek"
"hydro?","greek"
"micro","greek"
"macro","greek"
"phono?","greek"
"scope","greek"
"graph","greek"
"photo?","greek"
"tele","greek"
"mete?r","greek"
"pa(th|ss)","greek"
"psycho?","greek"
"pan","greek"
"zoo","greek"
"chron","greek"
"phobia","greek"
"port","latin"
"form","latin"
"tract","latin"
"rupt","latin"
"spect?","latin"
"stru(ct)?","latin"
"dict?","latin"
"fle[cx]","latin"
"cred","latin"
"aqua","latin"
"p(el|uls)","latin"
"fact?","latin"
"ject","latin"
"ver[ts]","latin"
"mi[ts]","latin"
"mort","latin"
"scri(pt|b)","latin"
"junct","latin"
"cide","latin"
"press","latin"
"spire","latin"
"gr(ad|ess)","latin"
"c[ae]pt","latin"
